3427720  r_01_ 17  0.03569 0.00270 0.00263
3427720  r_10_ 17  0.03462 0.00217 0.00223
3427720  r_01_ 18  0.03321 0.00142 0.00144
3427720  r_10_ 18  0.03262 0.00115 0.00111
3427720  r_01_ 19  0.03106 0.00099 0.00104
3427720  r_10_ 19  0.02994 0.00102 0.00102
3427720  r_01_ 20  0.02959 0.00105 0.00109
3427720  r_10_ 20  0.02933 0.00093 0.00089
3427720  r_01_ 21  0.02858 0.00081 0.00077
3427720  r_10_ 21  0.02751 0.00096 0.00093
3427720  r_01_ 22  0.02767 0.00121 0.00116
3427720  r_10_ 22  0.02897 0.00123 0.00125
3427720  r_01_ 23  0.02864 0.00145 0.00147
3427720  r_10_ 23  0.02587 0.00169 0.00181
3427720  r_01_ 24  0.02317 0.00235 0.00236
3427720  r_10_ 24  0.02269 0.00347 0.00302
3427720  r_01_ 25  0.02248 0.00510 0.00427
3456181  r_02_ 12  0.12537 0.02033 0.02524
3456181  r_02_ 13  0.09676 0.02088 0.02110
3456181  r_02_ 14  0.08802 0.01369 0.01378
3456181  r_02_ 15  0.08125 0.01047 0.01154
3456181  r_02_ 16  0.08184 0.01170 0.01445
3456181  r_02_ 17  0.08637 0.01058 0.01189
3456181  r_02_ 18  0.09914 0.00890 0.01028
3456181  r_02_ 19  0.06542 0.01669 0.02032
3456181  r_02_ 20  0.06121 0.01425 0.01891
3456181  r_02_ 21  0.06493 0.01617 0.02026
3456181  r_02_ 22  0.04649 0.03321 0.02639
3456181  r_02_ 23  0.06026 0.06026 0.02257
3456181  r_02_ 24  0.08872 0.02413 0.02827
3456181  r_02_ 25  0.14001 0.02595 0.03264
3456181  r_01_ 12  0.07408 0.00777 0.00755
3456181  r_10_ 12  0.07450 0.00791 0.00809
3456181  r_01_ 13  0.07329 0.00859 0.00863
3456181  r_10_ 13  0.07493 0.00750 0.00785
3456181  r_01_ 14  0.08003 0.00624 0.00654
3456181  r_10_ 14  0.08228 0.00576 0.00620
3456181  r_01_ 15  0.08182 0.00509 0.00571
3456181  r_10_ 15  0.07956 0.00532 0.00605
3456181  r_01_ 16  0.07677 0.00646 0.00675
3456181  r_10_ 16  0.07497 0.00601 0.00664
3456181  r_01_ 17  0.07518 0.00646 0.00608
3456181  r_10_ 17  0.07693 0.00587 0.00578
3456181  r_01_ 18  0.07624 0.00570 0.00588
3456181  r_10_ 18  0.06871 0.00644 0.00704
3456181  r_01_ 19  0.05691 0.00749 0.00907
3456181  r_10_ 19  0.05700 0.00726 0.00792
3456181  r_01_ 20  0.06008 0.00746 0.00866
3456181  r_10_ 20  0.05396 0.00841 0.00907
3456181  r_01_ 21  0.04172 0.01003 0.00957
3456181  r_10_ 21  0.03185 0.01017 0.01118
3456181  r_01_ 22  0.02231 0.01338 0.01240
3456181  r_10_ 22  0.01482 0.01672 0.01568
3456181  r_01_ 23  0.01606 0.02149 0.01606
3456181  r_10_ 23  0.03268 0.01626 0.01505
3456181  r_01_ 24  0.05328 0.01452 0.01474
3456181  r_10_ 24  0.05265 0.01450 0.01444
3456181  r_02_ 12  0.12537 0.02033 0.02524
3456181  r_02_ 13  0.09676 0.02088 0.02110
3456181  r_02_ 14  0.08802 0.01369 0.01378
3456181  r_02_ 15  0.08125 0.01047 0.01154
3456181  r_02_ 16  0.08184 0.01170 0.01445
3456181  r_02_ 17  0.08637 0.01058 0.01189
3456181  r_02_ 18  0.09914 0.00890 0.01028
3456181  r_02_ 19  0.06542 0.01669 0.02032
3456181  r_02_ 20  0.06121 0.01425 0.01891
3456181  r_02_ 21  0.06493 0.01617 0.02026
3456181  r_02_ 22  0.04649 0.03321 0.02639
3456181  r_02_ 23  0.06026 0.06026 0.02257
3456181  r_02_ 24  0.08872 0.02413 0.02827
3456181  r_02_ 25  0.14001 0.02595 0.03264
3456181  r_01_ 12  0.07408 0.00777 0.00755
3456181  r_10_ 12  0.07450 0.00791 0.00809
3456181  r_01_ 13  0.07329 0.00859 0.00863
3456181  r_10_ 13  0.07493 0.00750 0.00785
3456181  r_01_ 14  0.08003 0.00624 0.00654
3456181  r_10_ 14  0.08228 0.00576 0.00620
3456181  r_01_ 15  0.08182 0.00509 0.00571
3456181  r_10_ 15  0.07956 0.00532 0.00605
3456181  r_01_ 16  0.07677 0.00646 0.00675
3456181  r_10_ 16  0.07497 0.00601 0.00664
3456181  r_01_ 17  0.07518 0.00646 0.00608
3456181  r_10_ 17  0.07693 0.00587 0.00578
3456181  r_01_ 18  0.07624 0.00570 0.00588
3456181  r_10_ 18  0.06871 0.00644 0.00704
3456181  r_01_ 19  0.05691 0.00749 0.00907
3456181  r_10_ 19  0.05700 0.00726 0.00792
3456181  r_01_ 20  0.06008 0.00746 0.00866
3456181  r_10_ 20  0.05396 0.00841 0.00907
3456181  r_01_ 21  0.04172 0.01003 0.00957
3456181  r_10_ 21  0.03185 0.01017 0.01118
3456181  r_01_ 22  0.02231 0.01338 0.01240
3456181  r_10_ 22  0.01482 0.01672 0.01568
3456181  r_01_ 23  0.01606 0.02149 0.01606
3456181  r_10_ 23  0.03268 0.01626 0.01505
3456181  r_01_ 24  0.05328 0.01452 0.01474
3456181  r_10_ 24  0.05265 0.01450 0.01444
3632418  r_02_ 11  0.06420 0.02541 0.02509
3632418  r_02_ 12  0.08910 0.00874 0.00755
3632418  r_02_ 13  0.09456 0.00676 0.00673
3632418  r_02_ 14  0.07785 0.00442 0.00453
3632418  r_02_ 15  0.06329 0.00587 0.00613
3632418  r_02_ 16  0.07144 0.00437 0.00447
3632418  r_02_ 17  0.07432 0.00329 0.00372
3632418  r_02_ 18  0.07495 0.00370 0.00402
