8379927 |Arthur   | 6.96|2795|120.3|49|Simple|2.1-17.2|2.2, 2.3, 3, 4    |6067|120|1|-0.10|0.15|1|4.388|0.008|0.007|       |    |     |    
8394589 |         | 9.52|2397|109.5|44|Simple|5.1-17.2|                  |6143| 77| |-0.29|0.10| |4.322|0.008|0.008|  22.58|0.10| 6.40|0.50
8424992 |         |10.32|2534|120.6|22|Simple|7.1-10.3|                  |5719| 77| |-0.12|0.10| |4.359|0.007|0.007| -87.63|0.10| 1.30|0.50
8694723 |         | 8.88|1471| 75.1|53|Simple|5.1-17.2|                  |6246| 77| |-0.42|0.10| |4.113|0.007|0.009|  15.88|0.10| 7.10|0.50
8760414 |Pucky    | 9.62|2455|117.2|44|Simple|5.1-17.2|                  |5873| 77| |-0.92|0.10| |4.320|0.007|0.003|-115.64|0.10| 2.50|0.50
8938364 |Java2    |10.11|1675| 85.7|41|Simple|6.1-17.2|                  |5677| 77| |-0.13|0.10| |4.173|0.007|0.002| -68.12|0.10| 2.40|0.50
9025370 |         | 8.85|2989|132.6|28|Simple|5.1-17.2|                  |5270|180|2|-0.12|0.18|2|4.423|0.007|0.004|       |    |     |    
9098294 |         | 9.76|2315|108.9|34|Simple|5.1-17.2|                  |5852| 77| |-0.18|0.10| |4.308|0.005|0.007| -71.72|0.10| 3.00|0.50
9139151 |Carlsberg| 9.18|2690|117.3|35|Simple|5.1-17.2|                  |6302| 77| | 0.10|0.10| |4.382|0.008|0.008| -29.06|0.10| 5.50|0.50
9139163 |Punto    | 8.33|1730| 81.2|57|F-like|5.1-17.2|                  |6400| 84|5| 0.15|0.09|5|4.200|0.009|0.008|       |    |     |    
9206432 |         | 9.08|1866| 84.9|49|F-like|5.1-12.3|7                 |6538| 77| | 0.16|0.10| |4.220|0.005|0.007|  -1.73|0.10| 6.70|0.50
9353712 |         |10.84| 934| 51.5|41|F-like|5.1-12.3|6, 7.2            |6278| 77| |-0.05|0.10| |3.943|0.007|0.005| -46.67|0.10| 6.80|0.50
9410862 |         |10.71|2279|107.4|33|Simple|5.1-15.3|                  |6047| 77| |-0.31|0.10| |4.300|0.009|0.008| -56.84|0.10| 3.80|0.50
9414417 |         | 9.58|1155| 60.1|54|F-like|6.1-17.2|7                 |6253| 75|6|-0.13|0.10|6|4.016|0.005|0.005|       |    |     |    
9812850 |         | 9.47|1255| 64.7|49|F-like|5.1-17.2|                  |6321| 77| |-0.07|0.10| |4.053|0.008|0.009|  31.18|0.10|12.50|0.50
9955598 |         | 9.44|3617|153.3|31|Simple|5.1-17.2|                  |5457| 77| | 0.05|0.10| |4.497|0.007|0.005| -28.48|0.10| 1.10|0.50
9965715 |         | 9.34|2079| 97.2|40|Simple|5.1-13.3|7, 11             |5860|180|2|-0.44|0.18|2|4.272|0.008|0.009|       |    |     |    
10068307|         | 8.18| 995| 53.9|49|Simple|7.1-17.2|                  |6132| 77| |-0.23|0.10| |3.967|0.004|0.004| -14.78|0.10| 6.40|0.50
10079226|         |10.07|2653|116.3|31|Simple|7.1-10.3|                  |5949| 77| | 0.11|0.10| |4.366|0.005|0.005| -37.15|0.10| 4.00|0.50
10162436|         | 8.61|1052| 55.7|51|F-like|5.1-17.2|7, 10, 11, 15     |6146| 77| |-0.16|0.10| |3.981|0.005|0.005| -52.92|0.10| 6.40|0.50
10454113|Pinocha  | 8.62|2357|105.1|54|Simple|5.1-17.2|                  |6177| 77| |-0.07|0.10| |4.314|0.005|0.005| -21.22|0.10| 6.10|0.50
10516096|Manon    | 9.46|1690| 84.4|40|Simple|5.1-17.2|6, 10.1           |5964| 77| |-0.11|0.10| |4.169|0.010|0.011|   1.28|0.10| 4.60|0.50
10644253|Mowgli   | 9.16|2900|123.1|34|Simple|5.1-17.2|                  |6045| 77| | 0.06|0.10| |4.396|0.007|0.008| -18.91|0.10| 3.20|0.50
10730618|         |10.45|1282| 66.3|39|F-like|0-11.3  |6, 7.2            |6150|180|2|-0.11|0.18|2|4.062|0.008|0.007|       |    |     |    
10963065|Rudy     | 8.77|2204|103.2|42|Simple|2.3-17.2|3, 4, 8, 9, 12, 16|6140| 77| |-0.19|0.10| |4.277|0.011|0.011| -54.95|0.10| 4.50|0.50
11081729|         | 9.03|1968| 90.1|40|F-like|5.1-17.2|                  |6548| 83| | 0.11|0.10| |4.245|0.010|0.009|   0.27|0.10|24.10|0.50
11253226|Tinky    | 8.44|1591| 76.9|58|F-like|5.1-17.2|                  |6642| 77| |-0.08|0.10| |4.173|0.005|0.004|  10.65|0.10|14.40|0.50
11772920|         | 9.66|3675|157.7|27|Simple|5.1-17.2|                  |5180|180|2|-0.09|0.18|2|4.500|0.005|0.008|       |    |     |    
12009504|Dushera  | 9.32|1866| 88.2|43|Simple|5.1-17.2|                  |6179| 77| |-0.08|0.10| |4.211|0.007|0.005|  12.82|0.10| 7.70|0.50
12069127|         |10.70| 885| 48.4|39|F-like|5.1-11.3|6                 |6276| 77| | 0.08|0.10| |3.912|0.005|0.004| -25.33|0.10| 6.00|0.50
12069424|16 Cyg A | 5.86|2188|103.3|53|Simple|6.1-17.2|                  |5825| 50|4| 0.10|0.03|4|4.287|0.007|0.007| -27.35|0.10| 2.80|0.50
12069449|16 Cyg B | 6.09|2561|116.9|52|Simple|6.1-17.2|                  |5750| 50|4| 0.05|0.02|4|4.353|0.007|0.005| -27.82|0.10| 2.10|0.50
12258514|Barney   | 8.08|1513| 74.8|45|Simple|5.1-17.2|                  |5964| 77| |-0.00|0.10| |4.126|0.004|0.003| -18.98|0.10| 3.90|0.50
12317678|         | 8.74|1212| 63.5|57|F-like|5.1-17.2|                  |6580| 77| |-0.28|0.10| |4.048|0.008|0.009| -58.14|0.10| 8.40|0.50
