2837475  18 0 1432.08520 0.48202 0.54999 3.55074 0.13406 0.12040  6.10010 0.55790 0.81207 > 6.
2837475  18 1 1468.41655 0.31100 0.34957                                                  > 6.
2837475  18 2 1501.72675 1.07108 1.18929                                                    4.5
2837475  19 0 1509.38788 0.35004 0.33392 3.64944 0.12516 0.12266  5.82903 0.71544 0.79586 > 6.
2837475  19 1 1544.60726 0.30843 0.27988                                                  > 6.
2837475  19 2 1578.23260 1.54587 1.24555                                                    4.27
2837475  20 0 1585.54778 0.40037 0.45938 4.02245 0.12952 0.12467  6.94886 0.84862 0.74066 > 6.
2837475  20 1 1620.50105 0.30945 0.31483                                                  > 6.
2837475  20 2 1654.17349 0.98407 1.22604                                                    4.51
2837475  21 0 1660.11696 0.36938 0.38833 3.82463 0.11038 0.13337  5.72513 0.57821 0.63201 > 6.
2837475  21 1 1695.66732 0.32664 0.30534                                                  > 6.
2837475  21 2 1731.72016 1.10548 1.31610                                                  > 6.
2837475  22 0 1734.45461 0.59507 0.59842 3.82800 0.12568 0.12276  6.57766 0.64999 0.69408 > 6.
2837475  22 1 1771.57619 0.35864 0.36022                                                  > 6.
2837475  22 2 1806.69968 1.58301 1.43342                                                  > 6.
2837475  23 0 1810.86769 0.60944 0.64256 3.43724 0.13892 0.09626  8.16599 0.65649 1.24371 > 6.
2837475  23 1 1845.76365 0.42296 0.39975                                                  > 6.
2837475  23 2 1882.58551 1.53785 2.11299                                                  > 6.
2837475  24 0 1886.74500 0.72656 0.65436 2.95967 0.12361 0.10456  6.78994 0.74631 0.91644 > 6.
2837475  24 1 1922.74367 0.51325 0.53360                                                    5.39
2837475  24 2 1960.41126 2.01875 1.78827                                                  > 6.
2837475  25 0 1965.62382 1.15871 1.10900 2.46806 0.10078 0.14566  8.51507 1.14137 0.93148 > 6.
2837475  25 1 2000.59334 0.69685 0.60587                                                    4.96
2837475  25 2 2037.35659 1.73250 1.85261                                                    1.98
2837475  26 0 2042.05193 2.02130 2.05592 2.08764 0.09788 0.17342  8.15688 1.33448 1.79959   4.98
2837475  26 1 2074.98150 0.93634 1.29015                                                    4.79
2837475  26 2 2113.08449 1.90583 1.93906                                                    0.53
2837475  27 0 2117.22350 0.97939 1.19875 1.85090 0.13358 0.13847  9.50310 2.84655 2.01316 > 6.
2837475  27 1 2157.59019 1.13082 0.95468                                                    4.0
2837475  27 2 2190.10122 1.98851 2.26149                                                    0.05
2837475  28 0 2194.75565 0.97913 1.17552 1.51385 0.11067 0.10175  7.80483 1.53243 1.67683   3.71
2837475  28 1 2233.88399 1.50589 1.41446                                                    3.07
3427720  14 0 1848.95209 3.90222 2.74391 0.05466 0.05457 0.58823  0.50386 0.50136 4.01763   1.15
3427720  14 2 1958.69559 0.32843 0.29630                                                    1.58
3427720  15 0 1969.86022 0.16052 0.16326 1.15074 0.13446 0.13505  0.89937 0.30060 0.38879 > 6.
3427720  15 1 2025.18178 0.14036 0.15393                                                  > 6.
3427720  15 2 2077.46080 0.52205 0.76171                                                   -0.16
3427720  16 0 2088.92117 0.24267 0.24456 1.07190 0.12510 0.14824  1.19827 0.50074 0.46337 > 6.
3427720  16 1 2144.14105 0.16583 0.17704                                                  > 6.
3427720  16 2 2195.88006 0.63078 0.54763                                                    0.7
3427720  17 0 2207.58420 0.37512 0.38255 1.40014 0.12445 0.12326  2.13366 0.42203 0.52639 > 6.
3427720  17 1 2262.37800 0.17523 0.17175                                                  > 6.
3427720  17 2 2314.12128 0.35853 0.38812                                                    2.64
3427720  18 0 2325.38218 0.17003 0.16521 1.77621 0.08953 0.11888  1.76327 0.28525 0.25023 > 6.
3427720  18 1 2380.83221 0.10026 0.10021                                                  > 6.
3427720  18 2 2433.84015 0.15184 0.14083                                                  > 6.
3427720  19 0 2444.43709 0.12815 0.12257 2.11847 0.10558 0.09716  1.35587 0.19046 0.21175 > 6.
3427720  19 1 2500.82833 0.09630 0.09884                                                  > 6.
3427720  19 2 2553.81302 0.21040 0.20862                                                  > 6.
3427720  20 0 2564.45419 0.14544 0.15071 2.39492 0.10249 0.10577  1.84648 0.18052 0.22329 > 6.
3427720  20 1 2621.00734 0.08127 0.08091                                                  > 6.
3427720  20 2 2674.67946 0.14917 0.15040                                                  > 6.
3427720  21 0 2684.63904 0.09455 0.09110 2.61268 0.09990 0.09894  1.29952 0.14338 0.15617 > 6.
3427720  21 1 2741.29122 0.08977 0.08736                                                  > 6.
3427720  21 2 2794.48121 0.17412 0.16596                                                  > 6.
3427720  22 0 2804.40730 0.15773 0.16206 2.69762 0.10447 0.10260  2.30045 0.18431 0.25658 > 6.
3427720  22 1 2861.08925 0.10843 0.11194                                                  > 6.
3427720  22 2 2914.54580 0.20892 0.20244                                                  > 6.
3427720  23 0 2924.94417 0.18705 0.18978 2.32765 0.10757 0.10031  2.14014 0.29725 0.23860 > 6.
3427720  23 1 2981.65837 0.13783 0.14225                                                  > 6.
3427720  23 2 3035.12670 0.29880 0.31366                                                  > 6.
3427720  24 0 3044.54187 0.28624 0.30790 2.17889 0.10569 0.10000  3.08006 0.37485 0.49397 > 6.
3427720  24 1 3102.14902 0.24390 0.24298                                                  > 6.
3427720  24 2 3157.35821 0.73839 0.85448                                                    2.2
3427720  25 0 3165.22598 0.64817 0.52342 1.55805 0.14286 0.11375  4.05976 1.09276 0.89903 > 6.
3427720  25 1 3222.79557 0.37395 0.45390                                                  > 6.
3427720  25 2 3278.52295 1.67557 1.28595                                                    0.31
3427720  26 0 3285.56452 1.37593 1.68328 1.34276 0.16404 0.15267  3.99048 1.40040 1.69531   2.84
3456181  10 2  626.26479 1.72047 1.62119                                                    0.19
3456181  11 0  632.19663 0.55594 0.66973 2.08589 0.28148 0.35220  1.34753 0.56634 0.85584 > 6.
3456181  11 1  653.32603 0.28717 0.31589                                                  > 6.
3456181  11 2  675.36594 1.21528 1.05188                                                    1.27
3456181  12 0  681.59550 0.32268 0.36238 3.40315 0.29045 0.25088  2.45683 0.64957 0.76478 > 6.
3456181  12 1  702.73766 0.34191 0.36747                                                  > 6.
3456181  12 2  726.93493 0.96547 1.18724                                                  > 6.
